iter	Passed	Remaining
192	48144	201306
193	48379	201000
194	48637	200784
195	48884	200527
196	49127	200251
197	49376	199999
198	49612	199696
199	49843	199373
200	50093	199126
201	50296	198697
202	50556	198489
203	50818	198290
204	51072	198062
205	51325	197828
206	51576	197586
207	51836	197378
208	52095	197166
209	52346	196920
210	52576	196602
211	52827	196359
212	53075	196104
213	53310	195804
214	53569	195592
215	53821	195352
216	54077	195127
217	54329	194887
218	54533	194477
219	54773	194198
220	55025	193957
221	55274	193709
222	55506	193400
223	55746	193122
224	56005	192906
225	56246	192632
226	56490	192364
227	56736	192107
228	56994	191891
229	57248	191656
230	57483	191361
231	57681	190944
232	57940	190729
233	58176	190440
234	58413	190155
235	58666	189920
236	58940	189752
237	59176	189463
238	59421	189204
239	59679	188984
240	59938	188770
241	60172	188473
242	60422	188231
243	60668	187974
244	60929	187762
245	61176	187507
246	61409	187212
247	61702	187097
248	61983	186946
249	62217	186651
250	62506	186523
251	62761	186291
252	63031	186105
253	63340	186031
254	63596	185800
255	63898	185703
256	64197	185599
257	64523	185568
258	64723	185175
259	64973	184924
260	65202	184616
261	65452	184366
262	65687	184075
263	65942	183839
264	66153	183481
265	66403	183232
266	66659	183001
267	66908	182750
268	67129	182422
269	67377	182168
270	67675	182048
271	67927	181806
272	68177	181557
273	68422	181295
274	68657	181006
275	68913	180774
276	69150	180491
277	69392	180220
278	69650	179993
279	69902	179750
280	70118	179413
281	70367	179162
282	70622	178926
283	70880	178699
284	71126	178439
285	71348	178122
286	71600	177878
287	71816	177545
288	72054	177267
289	72271	176939
290	72507	176659
291	72731	176348
292	72985	176112
293	73213	175811
294	73468	175576
295	73721	175337
296	73974	175098
297	74213	174826
298	74464	174581
299	74723	174354
300	74972	174105
301	75210	173830
302	75468	173602
303	75691	173293
304	75921	173000
305	76158	172726
306	76374	172401
307	76611	172126
308	76862	171882
309	77105	171622
310	77341	171345
311	77580	171074
312	77821	170809
313	78034	170482
314	78273	170213
315	78506	169931
316	78748	169668
317	78985	169397
318	79237	169156
319	79496	168930
320	79779	168753
321	80034	168519
322	80279	168264
323	80535	168031
324	80808	167833
325	81054	167579
326	81282	167286
327	81529	167037
328	81777	166786
329	82025	166537
330	82281	166303
331	82527	166049
332	82774	165796
333	83038	165578
334	83290	165337
335	83520	165051
336	83782	164830
337	84038	164595
338	84293	164360
339	84545	164118
340	84804	163888
341	85048	163630
342	85285	163360
343	85533	163110
344	85789	162874
345	86024	162601
346	86254	162318
347	86498	162060
348	86726	161772
349	86978	161531
350	87196	161226
351	87434	160958
352	87688	160720
353	87942	160482
354	88191	160234
355	88437	159982
356	88660	159687
357	88900	159425
358	89150	159180
359	89371	158883
360	89603	158605
361	89837	158331
362	90078	158071
363	90339	157846
364	90590	157602
365	90847	157369
366	91093	157117
367	91330	156850
368	91566	156581
369	91826	156353
370	92081	156116
371	92322	155856
372	92562	155594
373	92819	155361
374	93073	155121
375	93298	154835
376	93543	154581
377	93803	154354
378	94022	154058
379	94255	153785
380	94478	153495
381	94730	153255
382	94988	153023
383	95214	152739
384	95438	152453
385	95689	152211
386	95920	151936
387	96170	151692
388	96429	151461
389	96681	151220
390	96921	150958
391	97182	150731
392	97428	150481
393	97683	150244
394	97924	149985
395	98173	149739
396	98420	149490
397	98648	149211
